Window,Day 1,Day 2,Day 3
148,0.148355325826,0.127351054758,0.14823453767
149,0.146924699686,0.126777410036,0.148893690454
150,0.14426815956,0.127306135466,0.148860123131
151,0.141994652629,0.127969155213,0.149327651652
152,0.140625710272,0.128481377065,0.150672469244
153,0.139208839695,0.12807793343,0.151293141121
154,0.139077979875,0.12854232823,0.150996274495
155,0.139116231236,0.129588038673,0.151683560885
156,0.140234154393,0.129537559226,0.152746971937
157,0.140695606438,0.129980261217,0.152363896155
158,0.141380921879,0.130552861207,0.153849979885
159,0.142413856914,0.13120762191,0.154656644534
160,0.14275318465,0.131191613549,0.154502752982
161,0.143197882941,0.13052686698,0.155207827198
162,0.14325473503,0.130711378265,0.154901356457
163,0.144392313179,0.130934027722,0.154521731112
164,0.146208332509,0.131293289917,0.154825268491
165,0.146245112795,0.131041502075,0.155679709485
166,0.146067992015,0.132198850382,0.155141684487
167,0.145720909391,0.132376878506,0.154170192858
168,0.146883986798,0.132804038012,0.15432089471
169,0.147663745704,0.133675043339,0.154160353896
170,0.148011699705,0.13377958796,0.152972593348
171,0.150017546612,0.133160556373,0.153115020367
172,0.150713775213,0.132120924763,0.152684138088
173,0.151567756589,0.130428963126,0.152282413515
174,0.151541452015,0.129263865254,0.154361516048
175,0.152034951662,0.128768311051,0.153782218541
176,0.151109867903,0.128109810305,0.152831216121
177,0.150373538455,0.126947965973,0.153315805244
178,0.149719706377,0.126348769821,0.152214663357
179,0.148658314031,0.127569129098,0.150483542575
180,0.147689534348,0.127754362535,0.150187337054
181,0.14717084149,0.128656526745,0.149627198493
182,0.146847969987,0.127996186607,0.14897488042
183,0.145674794138,0.128217722221,0.148866684078
184,0.144172906359,0.128549598665,0.148711609001
185,0.143693858455,0.12785795659,0.146970875939
186,0.145998074912,0.12718798877,0.144964278511
187,0.146043836304,0.126579380823,0.144938820354
188,0.144548995193,0.126341383057,0.14329777247
189,0.144414767436,0.125182395232,0.142643852295
190,0.145163246282,0.12304255499,0.142420954391
191,0.142454755466,0.123294530629,0.140256334936
192,0.14100444138,0.124177233785,0.138339058405
193,0.140121376392,0.125504591595,0.137272352213
194,0.138979148903,0.12552622878,0.133543157422
195,0.138307664077,0.125204276821,0.131596596344
196,0.138205160173,0.125479807097,0.130297449738
197,0.137882883496,0.125791124205,0.126740609161
198,0.138268141024,0.125948300885,0.125023898861
199,0.137502312569,0.123367894116,0.125229949597
200,0.13791536979,0.123379436596,0.123956604974
201,0.137060211182,0.12284059065,0.122298619403
202,0.136291492379,0.123423612606,0.121996855626
203,0.135281770204,0.12393727451,0.119689373354
204,0.135439274319,0.12388874784,0.117641257961
205,0.134185599542,0.124730073216,0.116404043772
206,0.13121345147,0.125421905951,0.115840879035
207,0.130325355266,0.124476150091,0.114513099653
208,0.131451197062,0.125155907932,0.113523279707
209,0.132341419233,0.12550570736,0.111504790619
210,0.133874870383,0.127565158205,0.110980165393
211,0.135935812396,0.127233540563,0.111731803995
212,0.137503845734,0.127049241564,0.11161739414
213,0.137151430232,0.127424395022,0.110881937828
214,0.137052786421,0.127554240242,0.111117895324
215,0.138776653656,0.127687675703,0.111522512764
216,0.140775688066,0.128383609576,0.11160669178
217,0.140112918903,0.128223148942,0.113711857253
218,0.14153793648,0.128556409357,0.113826645675
219,0.14259266781,0.130255427014,0.112876825082
220,0.143334302205,0.130365199472,0.113453755274
221,0.1427616247,0.130826726227,0.113485340277
222,0.142987035517,0.131146990354,0.112512335863
223,0.143288634677,0.131176497984,0.112676168655
224,0.142737718642,0.130547824749,0.113500015498
225,0.144911307992,0.129539586183,0.114539103519
226,0.145745934579,0.129094951665,0.114732541161
227,0.146286001369,0.13026409277,0.113572618478
228,0.145059839259,0.129064212195,0.115495035679
229,0.143608420684,0.127934284624,0.117199281041
230,0.142055196935,0.12643073419,0.11729432781
231,0.142829733667,0.125660635108,0.116220215747
232,0.140393615042,0.124674518841,0.116194460418
233,0.139984300416,0.124390833968,0.116631274409
234,0.1401464709,0.124043607934,0.116959774783
235,0.137907752907,0.124146860418,0.116984676581
236,0.13575043194,0.123399003921,0.1163160253
237,0.135762535982,0.123140424839,0.115676476114
238,0.133813076351,0.121002793575,0.115055482267
239,0.133384038604,0.1196660313,0.115064087467
240,0.132148190496,0.118184052393,0.113757193112
241,0.131374851062,0.116616420874,0.113306737293
242,0.131712165423,0.11488046519,0.11485851799
243,0.131650062131,0.113658005675,0.116850163629
244,0.132282365858,0.113268955185,0.118344429347
245,0.132211094892,0.113525518568,0.120599612295
246,0.131558061182,0.112644831553,0.123211394913
247,0.131757678146,0.112398886908,0.125835369979
248,0.133757004567,0.112069038129,0.125998332359
249,0.13547326956,0.110999437294,0.126573955529
250,0.134165408014,0.112045693502,0.127968668337
251,0.132935255741,0.111682106718,0.129936473554
252,0.135035596425,0.111477993192,0.131615828661
253,0.1368792962,0.111273104393,0.132486149684
254,0.138171083192,0.111859305172,0.134032129365
255,0.140871143519,0.111658320844,0.13534112005
256,0.142050800275,0.111249825332,0.137209061386
257,0.142258133868,0.110694048477,0.138341381207
258,0.141593086838,0.111620566807,0.140310435415
259,0.142265932887,0.111536709111,0.142169958398
260,0.144761206709,0.112751615803,0.143827093716
261,0.146445074244,0.113369832694,0.145432410071
262,0.146765378934,0.113836626263,0.145522964621
263,0.148348691668,0.113719202546,0.146299131775
264,0.148525110224,0.113855512637,0.146361206555
265,0.149056865063,0.1140831631,0.146077999538
266,0.148739489902,0.11500712728,0.143738314842
267,0.146754675897,0.114829755684,0.141308478199
268,0.147270557824,0.115846257606,0.139948598719
269,0.145328668834,0.117646721948,0.139650894341
270,0.145595273997,0.116382498178,0.137751004378
271,0.145639025953,0.116696051086,0.140047142391
272,0.144655154564,0.11710999194,0.140319547895
273,0.143840134976,0.116757784422,0.14077066995
274,0.143030774803,0.117169113475,0.14087759018
275,0.140792160599,0.116548913672,0.141352245134
276,0.139381152344,0.11683184762,0.141377435994
277,0.140515666583,0.117312729557,0.141342726577
278,0.142334756307,0.117521035012,0.140817219303
279,0.140971099972,0.118289979162,0.140746840068
280,0.137482035162,0.117964717642,0.14124984417
281,0.13555834419,0.117663131406,0.141400114122
282,0.135019816501,0.118153414429,0.141867815604
283,0.133430053616,0.117928923138,0.140945041815
284,0.133827197952,0.118800397647,0.141669896713
285,0.132375178221,0.119006023581,0.141211058066
286,0.131991873921,0.118640028946,0.142686682167
287,0.133375372558,0.118463692752,0.145209989382
288,0.131363114248,0.118300671335,0.147060985623
289,0.131662026259,0.118267598939,0.147568602939
290,0.132016809063,0.118943713452,0.149268514519
291,0.13231303647,0.11926348095,0.147134202116
292,0.132529958939,0.119421260951,0.146316802621
293,0.13259829077,0.118671188955,0.146133403615
294,0.133006172784,0.118160781028,0.145379322897
295,0.134063073413,0.118821341565,0.144518866466
296,0.135489499322,0.118702111556,0.145295363561
297,0.134894045335,0.118946449802,0.146877695969
298,0.134010571574,0.117893037003,0.14809420007
299,0.134552158861,0.11810489353,0.147867430021
300,0.136655465063,0.119499504184,0.148349581175
301,0.138489976059,0.120031361964,0.148286353724
302,0.139239660455,0.120361201089,0.148151597434
303,0.138131879502,0.121436273927,0.149351635971
304,0.137171051214,0.121651618023,0.148457519223
305,0.137345796808,0.122638136335,0.1482832924
306,0.136975763326,0.123151529607,0.148876686508
307,0.136283479758,0.124357563081,0.149026309
308,0.135866963571,0.124746638045,0.14824473947
309,0.136163483965,0.124102431495,0.14840826255
310,0.13731243638,0.124478868061,0.148892710073
311,0.136329221548,0.125422884552,0.149037597568
312,0.136543205474,0.12551387661,0.149996598243
313,0.135860617007,0.126439883584,0.15056910957
314,0.135675744645,0.126749600684,0.151823558052
315,0.134944631189,0.1275243769,0.153716645779
316,0.134189209389,0.128201663039,0.153654315585
317,0.137365282131,0.127996870594,0.152509998182
318,0.137490621322,0.130275515009,0.151900947846
319,0.139931378778,0.130544912443,0.153226486974
320,0.143246924603,0.130348894603,0.151969990302
321,0.146760497536,0.130843756558,0.152044794716
322,0.149514479464,0.130673924605,0.151503469251
323,0.15244869721,0.130703206764,0.151538935525
324,0.155307708169,0.129708927226,0.151978216795
325,0.15603773127,0.128723466077,0.15173539321
326,0.159124225061,0.128421774365,0.152377006544
327,0.163609494487,0.12707631466,0.151508147998
328,0.166583781868,0.126047451969,0.152657290255
329,0.166928391479,0.126447136044,0.15425456813
330,0.166070758668,0.125770764046,0.153325462924
331,0.16784260437,0.124609476646,0.152607593888
332,0.167397619024,0.124290311475,0.152023457991
